Fecha,Clics,Impresiones,CTR,Posición
2026-05-30,0,3,0%,9.7
2026-05-31,2,11,18.18%,13.1
2026-06-01,1,16,6.25%,8
2026-06-02,1,13,7.69%,7.4
2026-06-03,0,12,0%,10.8
2026-06-04,0,10,0%,7.6
2026-06-05,0,4,0%,6.5
2026-06-06,3,14,21.43%,17.4
2026-06-07,0,10,0%,17
2026-06-08,0,9,0%,16.6
2026-06-09,0,10,0%,22.9
2026-06-10,0,16,0%,16.1
2026-06-11,1,11,9.09%,11.3
2026-06-12,1,10,10%,24.5
2026-06-13,3,14,21.43%,25.8
2026-06-14,0,12,0%,19.6
2026-06-15,0,11,0%,24.9
2026-06-16,0,20,0%,17.2
2026-06-17,0,24,0%,12.5
2026-06-18,0,11,0%,10.8
2026-06-19,1,17,5.88%,14.8
2026-06-20,0,25,0%,25.2
2026-06-21,0,11,0%,16.8
2026-06-22,0,25,0%,20.8
2026-06-23,0,13,0%,21
2026-06-24,0,16,0%,29.1
2026-06-25,0,26,0%,22.1
2026-06-26,0,16,0%,17.3
