SECCION,METRICA,VALOR,UNIDAD
General,Periodo,dic 2025 - may 2026,
Visibilidad,Vistas del Perfil de Empresa,1053,vistas
Visibilidad,Busquedas que mostraron el perfil,41,busquedas
Interacciones,Interacciones del Perfil de Empresa,273,interacciones
Navegacion,Solicitudes Como llegar,238,solicitudes
Web,Clics al sitio web,30,clics
Plataforma,Busqueda Google (movil),620,vistas
Plataforma,Busqueda Google (movil) %,59,%
Plataforma,Google Maps (movil),177,vistas
Plataforma,Google Maps (movil) %,17,%
Plataforma,Busqueda Google (ordenador),175,vistas
Plataforma,Busqueda Google (ordenador) %,17,%
Plataforma,Google Maps (ordenador),81,vistas
Plataforma,Google Maps (ordenador) %,8,%
Terminos de busqueda,spot,23,apariciones
Terminos de busqueda,english,18,apariciones
Terminos de busqueda,6 minutes english,<15,apariciones
Terminos de busqueda,academia ingles vigo,<15,apariciones
Terminos de busqueda,academia ingles vigo florida,<15,apariciones
